,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor,translation_inhibitor
YCL054W,5.95E-05,6.61E-05,6.82E-05,6.21E-05,7.02E-05,7.05E-05,6.08E-05,6.58E-05
YCL057C-A,9.70E-05,0.000108282,7.65E-05,6.69E-05,6.05E-05,6.60E-05,5.28E-05,6.88E-05
YCL057W,0.000225137,0.000266518,0.000219846,0.000219744,0.000191142,0.000200256,0.000178357,0.000171291
YCL059C,7.21E-05,7.88E-05,6.80E-05,5.69E-05,4.57E-05,6.00E-05,5.56E-05,5.36E-05
YCR002C,0.000178355,0.000195551,0.00018021,0.000170396,0.000153974,0.000153144,0.000130323,0.000128474
YCR004C,0.000148734,0.000146768,0.000155979,0.000141168,0.000149297,0.000150365,0.000165925,0.000158884
YCR005C,7.41E-05,7.48E-05,7.98E-05,8.32E-05,0.000123047,0.000118551,0.000139803,0.00013047
YCR009C,0.000224129,0.000219712,0.000203569,0.000205014,0.000166824,0.000156756,0.000116526,0.000133255
YCR012W,0.015403903,0.013864812,0.019809076,0.018968195,0.02446285,0.022230102,0.024164315,0.025547194
YCR028C-A,0.000173135,0.000193031,0.000172791,0.000186485,0.000160865,0.000118151,0.000184797,0.000165868
YCR030C,0.000182168,0.000176139,0.000158445,0.000148849,0.000116298,0.000115068,9.98E-05,0.000111987
YCR031C,0.000237358,0.000270437,0.000267241,0.000258343,0.000238682,0.000245677,0.000218309,0.000150325
YCR035C,6.22E-05,6.57E-05,5.28E-05,5.38E-05,3.72E-05,3.57E-05,2.06E-05,3.89E-05
YCR052W,5.81E-05,4.80E-05,4.37E-05,4.91E-05,3.60E-05,3.14E-05,3.31E-05,3.26E-05
YCR053W,0.000803873,0.000849362,0.001078707,0.00106975,0.001069807,0.001023013,0.001212138,0.0011167
YCR057C,0.000116326,0.000107134,9.92E-05,8.94E-05,7.54E-05,7.59E-05,3.81E-05,5.63E-05
YCR072C,8.88E-05,8.72E-05,8.67E-05,8.34E-05,6.63E-05,5.75E-05,3.68E-05,4.54E-05
YCR073W-A,7.57E-05,6.75E-05,5.99E-05,5.24E-05,4.04E-05,3.46E-05,3.17E-05,2.93E-05
YCR077C,5.30E-05,5.14E-05,5.50E-05,4.41E-05,3.77E-05,4.14E-05,3.38E-05,5.44E-05
YCR084C,0.000244729,0.000250143,0.00023085,0.000241434,0.000209771,0.000221897,0.000220842,0.00023049
YCR087C-A,6.35E-05,5.98E-05,5.98E-05,6.57E-05,5.31E-05,6.90E-05,4.39E-05,5.21E-05
YCR088W,0.000492488,0.000465009,0.000457158,0.000445055,0.00048597,0.000479257,0.000453783,0.000454464
YCR090C,5.88E-05,5.26E-05,6.17E-05,5.85E-05,4.00E-05,3.94E-05,3.17E-05,3.33E-05
YCR093W,9.90E-05,9.37E-05,9.91E-05,9.40E-05,0.000101662,9.66E-05,6.87E-05,8.92E-05
YDL004W,2.18E-05,1.91E-05,2.14E-05,2.48E-05,2.72E-05,3.65E-05,2.69E-05,3.33E-05
YDL007W,0.000433471,0.000454772,0.000425085,0.000419022,0.000344894,0.000373551,0.000284495,0.00030414
YDL014W,0.001152809,0.00122349,0.001118043,0.001091724,0.001077376,0.001249517,0.001050734,0.00100472
YDL022W,0.000437639,0.000512359,0.000345156,0.00032757,0.00030671,0.000347857,0.000285208,0.000319089
YDL029W,0.000252786,0.000240031,0.000210137,0.000195013,0.000156633,0.000161192,0.000138688,0.000141994
YDL031W,5.59E-05,5.22E-05,5.02E-05,5.83E-05,4.65E-05,4.93503E-05,3.45E-05,4.44E-05
YDL040C,0.000364435,0.000384224,0.00033952,0.000317245,0.000250974,0.00026846,0.000224806,0.000259094
YDL047W,2.76E-05,3.45E-05,3.37E-05,3.82E-05,4.48E-05,2.89E-05,2.96E-05,2.79E-05
YDL051W,0.000258804,0.000271615,0.000234303,0.000247626,0.00022501,0.000227698,0.000233329,0.000197589
YDL052C,6.10E-05,6.02E-05,5.79E-05,6.07E-05,5.62E-05,4.45E-05,5.03E-05,6.35E-05
YDL053C,3.73E-05,4.22E-05,4.38E-05,4.35E-05,4.53E-05,4.24E-05,3.40E-05,3.81E-05
YDL055C,0.001185469,0.001403562,0.001454247,0.001428182,0.001877772,0.001982119,0.002255667,0.002168447
YDL060W,0.000147355,0.000131001,0.000117322,0.000135193,0.000106943,0.000120248,0.000117104,0.000119573
YDL061C,0.000521331,0.000469029,0.000487451,0.000530681,0.000522436,0.000617684,0.000649645,0.000437033
