fold	min_protein_count	R2_cv	RMSE_cv	R2_test	RMSE_test	proteins
1	56	0.7013072707415686	0.011030734584323484	0.8549768681658939	0.012911154913485278	YBR118W;YPR080W;YMR145C;YAR007C;YPL249C-A;YOR063W;YKL006W;YLR075W;YOR247W;YNL007C;YCR053W;YNL178W;YLR388W;YML026C;YNL096C;YAL038W;YBR039W;YEL047C;YGL253W;YER062C;YPL231W;YPL262W;YGR192C;YJL052W;YLL024C;YJR007W;YMR110C;YAL005C;YJR009C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YPR002W;YOR117W;YBL022C;YLR244C;YKL150W;YFR039C;YJR077C;YFR011C;YOR374W;YKL060C;YHR196W;YDL185W;YLR257W;YBL092W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	57	0.7002574787420811	0.011010899839329461	0.85846840095825	0.012622650864063526	YBR118W;YPR080W;YMR145C;YAR007C;YPL249C-A;YOR063W;YKL006W;YLR075W;YOR247W;YNL007C;YCR053W;YNL178W;YLR388W;YML026C;YNL096C;YAL038W;YBR039W;YNL037C;YEL047C;YGL253W;YER062C;YPL231W;YPL262W;YGR192C;YJL052W;YLL024C;YJR007W;YMR110C;YAL005C;YJR009C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YPR002W;YOR117W;YBL022C;YLR244C;YKL150W;YFR039C;YJR077C;YFR011C;YOR374W;YKL060C;YHR196W;YDL185W;YLR257W;YBL092W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	58	0.6772961334821925	0.011183694157705102	0.8521902344694458	0.012670396499123026	YBR118W;YPR080W;YMR145C;YAR007C;YPL249C-A;YOR063W;YKL006W;YLR075W;YOR247W;YNL007C;YCR053W;YER074W;YNL178W;YLR388W;YML026C;YNL096C;YAL038W;YBR039W;YNL037C;YEL047C;YGL253W;YER062C;YPL231W;YPL262W;YGR192C;YJL052W;YLL024C;YJR007W;YMR110C;YAL005C;YJR009C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YPR002W;YOR117W;YBL022C;YLR244C;YKL150W;YFR039C;YJR077C;YFR011C;YOR374W;YKL060C;YHR196W;YDL185W;YLR257W;YBL092W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	59	0.6674177636110371	0.01116450173382675	0.8547050782135034	0.01265101199845841	YBR118W;YPR080W;YMR145C;YAR007C;YPL249C-A;YOR063W;YKL006W;YLR075W;YDR418W;YOR247W;YNL007C;YCR053W;YER074W;YNL178W;YLR388W;YML026C;YNL096C;YAL038W;YBR039W;YNL037C;YEL047C;YGL253W;YER062C;YPL231W;YPL262W;YGR192C;YJL052W;YLL024C;YJR007W;YMR110C;YAL005C;YJR009C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YPR002W;YOR117W;YBL022C;YLR244C;YKL150W;YFR039C;YJR077C;YFR011C;YOR374W;YKL060C;YHR196W;YDL185W;YLR257W;YBL092W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
1	60	0.6718940273532799	0.010947170761295826	0.8554969999022298	0.012704396721564972	YBR118W;YPR080W;YMR145C;YAR007C;YPL249C-A;YOR063W;YKL006W;YLR075W;YDR418W;YOR247W;YNL007C;YCR053W;YER074W;YNL178W;YLR388W;YML026C;YNL096C;YAL038W;YBR039W;YNL037C;YEL047C;YGL253W;YNL281W;YER062C;YPL231W;YPL262W;YGR192C;YJL052W;YLL024C;YJR007W;YMR110C;YAL005C;YJR009C;YGR211W;YNL055C;YHR174W;YDR298C;YKL114C;YCR012W;YLR044C;YPR002W;YOR117W;YBL022C;YLR244C;YKL150W;YFR039C;YJR077C;YFR011C;YOR374W;YKL060C;YHR196W;YDL185W;YLR257W;YBL092W;YML073C;YLR344W;YOL121C;YPR043W;YMR071C;YPR191W
2	1	0.055948081155855686	0.06889774388559655	-0.06060109778076571	0.051374276519513457	YOR063W
2	2	0.30457396814127663	0.050830119751412335	0.37314371083721465	0.03579252636391592	YOR063W;YKL060C
2	3	0.3539264451026041	0.0478720022021262	0.4029511002390102	0.03470614257032772	YPL249C-A;YOR063W;YKL060C
2	4	0.32651400240029066	0.04958581087873408	0.4058282761240254	0.03244190997636164	YPL249C-A;YOR063W;YBR031W;YKL060C
2	5	0.373188856772086	0.047700050067025684	0.5782861094235338	0.025239387954301796	YPL249C-A;YOR063W;YGR244C;YBR031W;YKL060C
2	6	0.40572219672146675	0.046183197595518435	0.6740252191093796	0.02215128424054825	YPL249C-A;YOR063W;YGR244C;YBR031W;YKL060C;YOL121C
