sampleID	source	Ref	Simultation_with_ETFL	Strain	growth_mode	condition_detail	growth_media	dilution rate (/h)	qGlucose (mmol/gDW h)	qNH4 (mmol/gDW h)	qGln (mmol/gDW h)	qPhe (mmol/gDW h)	qIle (mmol/gDW h)	qNitrogen (mmol/gDW h)	qEtOH (mmol/gDW h)	qAce (mmol/gDW h)	qPyr (mmol/gDW h)	qSuc (mmol/gDW h)	qGlycerol (mmol/gDW h)	qCO2 (mmol/gDW h)	qO2 (mmol/gDW h)	glucose.H2O concentration (g/L)	Nitrogen source	nitrogen source concentration (g/L)	limiting nutrient	C/N ratio	experiment subset	total RNA content (g/gDW)	total protein content (g/gDW)	extra notes
Min_anaerobic_3	sysbio	www.pnas.org/cgi/doi/10.1073/pnas.1921890117	YES	S. cerevisiae	batch	Min_ave_anaerobic(mmol/gDW)	"minimal mineral medium_additionally contained 0.0104 g/L ergosterol and 0.42 g/L Tween80 that had been dissolved in pure ethanol. Subsequently, medium used for anaerobic conditions contained 2.85 g/L ethanol"	0.3272347	-18.39499						27.15705				3.670184				NH4							
Rich_anaerobic_1	sysbio	www.pnas.org/cgi/doi/10.1073/pnas.1921890117	YES	S. cerevisiae	batch	Rich_ave_anaerobic(mmol/gDW)	"minimal mineral medium with the addition of the following amino acids: 0.19 g/L L-arginine; 0.4 g/L L-aspartate; 1.26 g/L L-glutamate; 0.13 g/L L-glycine; 0.14 g/L L-histidine; 0.29 g/L L-isoleucine; 0.4 g/L L-leucine; 0.44 g/L L-lysine; 0.108 g/L L-methionine; 0.2 g/L L-phenylalanine; 0.22 g/L L-threonine; 0.04 g/L L-tryptophan; 0.052 g/L L-tyro- sine; 0.38 g/L L-valine. additionally contained 0.0104 g/L ergosterol and 0.42 g/L Tween80 that had been dissolved in pure ethanol. Subsequently, medium used for anaerobic conditions contained 2.85 g/L ethanol"	0.3286641	-14.40820						22.89609				1.955895				NH4							
Rich_anaerobic_2	sysbio	www.pnas.org/cgi/doi/10.1073/pnas.1921890117	YES	S. cerevisiae	batch	Rich_ave_anaerobic(mmol/gDW)	"minimal mineral medium with the addition of the following amino acids: 0.19 g/L L-arginine; 0.4 g/L L-aspartate; 1.26 g/L L-glutamate; 0.13 g/L L-glycine; 0.14 g/L L-histidine; 0.29 g/L L-isoleucine; 0.4 g/L L-leucine; 0.44 g/L L-lysine; 0.108 g/L L-methionine; 0.2 g/L L-phenylalanine; 0.22 g/L L-threonine; 0.04 g/L L-tryptophan; 0.052 g/L L-tyro- sine; 0.38 g/L L-valine. additionally contained 0.0104 g/L ergosterol and 0.42 g/L Tween80 that had been dissolved in pure ethanol. Subsequently, medium used for anaerobic conditions contained 2.85 g/L ethanol"	0.3286641	-14.40820						22.89609				1.955895				NH4							
Rich_anaerobic_3	sysbio	www.pnas.org/cgi/doi/10.1073/pnas.1921890117	YES	S. cerevisiae	batch	Rich_ave_anaerobic(mmol/gDW)	"minimal mineral medium with the addition of the following amino acids: 0.19 g/L L-arginine; 0.4 g/L L-aspartate; 1.26 g/L L-glutamate; 0.13 g/L L-glycine; 0.14 g/L L-histidine; 0.29 g/L L-isoleucine; 0.4 g/L L-leucine; 0.44 g/L L-lysine; 0.108 g/L L-methionine; 0.2 g/L L-phenylalanine; 0.22 g/L L-threonine; 0.04 g/L L-tryptophan; 0.052 g/L L-tyro- sine; 0.38 g/L L-valine. additionally contained 0.0104 g/L ergosterol and 0.42 g/L Tween80 that had been dissolved in pure ethanol. Subsequently, medium used for anaerobic conditions contained 2.85 g/L ethanol"	0.3286641	-14.40820						22.89609				1.955895				NH4							
mean_REF_CN4_D=0.1	Rahul Kumar	https://doi.org/10.1101/2020.02.20.957662	NO	S. cerevisiae	chemostat			0.1																						
mean_CN22_D=0.1	Rahul Kumar	https://doi.org/10.1101/2020.02.20.957662	NO	S. cerevisiae	chemostat			0.1																						
mean_CN38_D=0.1	Rahul Kumar	https://doi.org/10.1101/2020.02.20.957662	NO	S. cerevisiae	chemostat			0.1																						
mean_CN75_D=0.1	Rahul Kumar	https://doi.org/10.1101/2020.02.20.957662	NO	S. cerevisiae	chemostat			0.1																						
FG_rep1_CN4_D= 0.26 or 0.32	Rahul Kumar	https://doi.org/10.1101/2020.02.20.957662	NO	S. cerevisiae	chemostat																									
FG_rep2_CN4_D= 0.26 or 0.32	Rahul Kumar	https://doi.org/10.1101/2020.02.20.957662	NO	S. cerevisiae	chemostat																									
FG_rep3_CN4_D= 0.26 or 0.32	Rahul Kumar	https://doi.org/10.1101/2020.02.20.957662	NO	S. cerevisiae	chemostat																									
FG_rep4_CN4_D= 0.26 or 0.32	Rahul Kumar	https://doi.org/10.1101/2020.02.20.957662	NO	S. cerevisiae	chemostat																									
